date,downtown main streets,malls,neighbourhood main streets,small town main streets,100Ave,104Street,104StreetDowntown,107AvenueNW,118AlbertaAve,118Beverly,124StreetNW,137AvenueNW,149StreetNW,50Ave,50StreetBeaumont,50StreetStonyPlain,82AvenueNW,97StreetDowntown,97StreetNorth,BonnieDoonSC,Boul St. Martin,Brampton,Caledon East,Carrefour Laval,Carrefour Richelieu,Centre Rockland,Downtown Yonge,Etobicoke Lakeshore,Fairview Pointe Claire,Golden Mile,JasperAve,Kingston Road,KingswayMall,Liberty Village,Mall Champlain,Markham,Mississauga Dundas,Mont Royal,Newmarket,North York Centre,Notre Dame,Oakville,ParsonsRoadSW,Pickering,Pickering Town Centre,Rue Fleury,Rue Ontario,Rue Richelieu,Rue Saint Catherine,Rue St Anne,Rue St Charles,Rue St George,Rue St Paul,Rue Wellington,Scarborough Town Centre,Schomberg,SherwoodDrive,SouthgateCentre,Spadina,Square One,St Denis,St Eustache,StAlbertRoad,StonyPlainRoadNW,Sutton,Thorncliffe Park,Uxbridge,Vaughan Mills,West Queen West,WestEdmontonMall,Weston,Yorkdale
2020-01-01,85.22790302,83.86749486,87.30326453,93.04962802,94.45057947,96.73859597,77.0680599,72.26987432,80.11918728,89.32936544,99.54917413,76.81664984,101.1674754,60.26754898,108.9201882,111.0140952,73.40724376,96.58386404,89.59263899,80.82980498,75.36085785,77.93558157,104.723948,87.15935045,87.5378234,88.71980438,89.24493547,91.63006375,57.1721043,88.66740743,76.94923832,90.09034966,76.75599234,91.3344405,82.34211199,91.15455705,90.69461407,107.9843088,76.61237666,102.2192001,76.17844858,72.38286102,71.79916015,77.65496353,94.72794089,95.93607851,85.1987648,105.7687524,81.88865206,51.51399493,93.87762732,89.24112478,74.40675404,62.4770144,86.55448717,108.2418834,144.9806349,90.46500973,87.35434478,90.59143848,84.27899537,87.39929807,83.16690695,69.78532135,98.6360063,109.0605452,96.41811654,78.85920548,87.32135765,90.22016104,83.63964291,82.20969339
2020-02-01,83.23341193,85.30162126,91.03179996,92.6267904,94.35387401,92.8392687,75.59899246,92.69394135,91.7888662,95.80251882,112.4658335,92.04329276,96.54400143,80.98916021,122.9002157,99.42478422,86.64273495,110.1299519,94.10611673,92.45318935,81.52711299,69.08389951,69.03705431,85.0405643,88.40075761,94.66436441,77.41080814,92.62624539,81.64489883,86.71733919,81.70755748,89.05490227,84.78194417,80.37360311,81.8963005,74.03517319,86.41315004,130.2466583,64.22597493,79.69363829,84.47353876,60.52886274,79.12237786,85.00232484,83.31774985,101.792854,85.98226449,100.4582356,81.45004216,71.7806565,92.12675501,86.37363333,89.90014301,93.20318372,77.87960305,134.008611,135.7676986,91.66154486,72.82297347,90.21191275,82.00628245,91.85253363,88.77857961,77.88392967,66.3003512,116.0294533,94.04237512,71.40950756,82.71191083,95.97683764,94.1985737,74.88352282
2020-03-01,50.17270321,44.36008566,63.62562975,61.42513786,71.781943,57.09312891,42.93386531,68.59701959,71.75109771,71.82501829,65.72040229,62.0023977,90.40926871,55.33978072,81.28858324,68.07664345,45.79102322,64.18029288,77.25876975,63.11164487,44.5357817,46.09085743,66.64418515,39.75592907,56.4811852,42.39155235,46.86816502,68.51795816,42.02069704,68.41332862,46.07749595,83.95389713,41.06023397,52.61701655,38.63019228,48.70639813,62.6061642,60.01631209,48.58430763,66.06307996,50.26241292,41.79633463,48.43105356,62.69761239,45.16406521,74.16316752,60.46444956,53.00635993,40.23864804,48.63543299,52.85208485,53.01103292,41.74181091,67.13848531,46.27402868,55.58696399,71.9402,48.16428821,49.03215674,44.58697077,51.88479097,49.03029686,58.78373535,65.72725565,65.82559624,97.04735079,68.87483578,33.11361446,55.6950197,39.86341894,73.78464173,40.42337815
2020-04-01,28.17816018,15.39014807,48.38023346,46.59573552,28.78136902,44.46351601,31.6267597,50.35982448,65.69894936,86.78365521,49.95970994,59.89164353,84.55038555,39.83547776,80.48720716,102.1285637,33.53021626,36.74673966,72.87894942,43.63723429,21.01580584,27.96162947,60.48239791,10.93359727,35.00307682,7.997417754,18.35855505,49.48782447,10.76944297,46.49200557,29.02741145,71.2222536,12.08549905,34.54787205,9.284553738,32.00984111,51.90990439,28.26355456,28.60273744,43.72746059,35.7417463,18.28299472,46.25192619,53.31911206,17.32555799,42.18686616,45.47544122,35.43150889,8.558085376,28.53632512,24.86156293,33.44843401,14.53266913,38.43661239,17.01453159,40.90543914,41.12676311,13.02458982,28.06645973,10.72183229,29.026003,28.22599052,53.27688802,74.34177462,52.02831777,62.23718095,28.85779528,3.988691426,36.02888314,7.589883468,58.87882557,16.08616451
2020-05-01,31.21136014,22.90228019,55.36174966,50.70873104,54.21713178,61.87685835,33.71270863,63.32273224,78.151833,96.39100504,68.68209101,88.89825054,121.4904628,50.4438062,95.48354349,86.30433571,41.41354755,31.80230347,87.26759678,53.43970525,29.01396,24.10045533,50.61009222,18.89514716,40.89152797,16.13681786,21.1205378,42.47504029,16.16562688,43.33943864,34.28390643,69.64048147,37.70963829,29.76837161,17.89706272,32.04790546,48.52962657,30.599918,26.90135939,49.75251443,38.85518113,20.71032964,59.64005328,46.3698156,15.64999082,63.90318681,63.09356426,49.44764876,16.44021162,45.17871993,31.78789216,40.13877475,19.91650006,47.69574463,14.5147985,17.32017705,41.44275078,29.57154654,27.00786948,11.41661112,40.66485693,27.75081694,64.22817728,77.01478263,58.887289,62.99398074,32.72243662,5.404644371,28.19881966,27.70315639,54.99257962,15.23564882
2020-06-01,31.12404038,36.98434052,53.46506611,46.04850035,68.32557505,52.61500405,30.59987202,65.20369002,69.72876673,78.77207685,57.70802142,78.71109397,89.21517986,48.59804792,79.08609329,46.60578282,42.77163218,23.66826136,71.86456578,55.96658621,41.45440104,24.09304303,57.65118391,32.36245756,52.07017974,36.8397049,22.4828967,48.48156539,26.75977404,53.86600362,35.2461684,66.35069561,61.51283543,34.31450076,37.65645703,33.30584041,52.83575261,38.11532856,28.92970325,49.13046015,35.92946223,32.96199198,60.4842996,49.53910973,29.1445634,61.54015995,57.96908467,41.14132051,20.93526275,36.75344055,35.96859843,33.01261733,24.09583462,44.42435717,19.51017624,36.26779495,34.74027311,52.6402041,29.34446701,18.19409906,36.61725813,21.77684615,60.11432095,64.40319051,52.39513966,68.47284742,30.968162,24.08835116,28.91213246,46.52237742,63.86431909,24.51300105
2020-07-01,33.13085223,55.04461314,55.23837523,57.98935378,53.91131249,55.78917476,37.37990961,68.67183473,63.35985841,71.96080597,56.97871028,69.9916006,85.21898496,51.35197925,98.76351958,65.66256795,42.86374606,20.65863183,77.23694592,59.32991782,51.90149506,28.81571824,77.544617,59.7526032,57.8479969,73.70017655,29.86165835,56.07845526,52.8652033,58.10383604,36.1751013,69.98348471,65.49856296,32.39168161,74.4690732,39.89063556,57.27920694,42.82394418,34.27722622,48.44016656,37.71914938,41.46459499,63.83444955,52.67797563,49.75710819,66.46240842,48.29375705,50.53599031,25.82006146,47.01582116,34.92167612,40.69135221,27.59579347,46.66072755,39.22027151,55.1463764,37.32343373,52.22184361,31.57791887,42.37519448,36.81930207,52.3326386,58.90258211,59.44398562,56.10275773,77.69573735,46.81331263,48.31317957,31.59017194,49.94100621,61.89246811,45.33244643
2020-08-01,34.88879242,55.04943606,54.12206551,56.26612645,38.13483748,46.86794192,38.72598604,69.88618966,66.46225937,70.11066321,57.21169801,67.84456216,78.56183791,61.32803083,103.4053688,60.65540249,40.86525232,21.53902942,67.97922501,50.01123598,51.90588429,29.04300797,71.00476124,58.98915806,53.8707715,70.49119824,33.82933741,51.49468043,52.50533614,60.11786282,36.88673131,64.738832,59.15475646,29.02591307,66.3272286,42.16434221,57.90620053,41.32932203,35.8674535,52.40986266,39.49901858,48.73992201,61.10741973,53.38001826,55.47996011,69.14891668,52.08545852,55.75486877,27.20515692,40.7381182,34.08611903,40.91236884,32.98338329,44.08119174,44.21636138,53.08411951,36.90211326,54.19749146,34.38386664,46.9246621,37.28843128,54.82531798,54.91994649,54.76682655,50.17149368,74.18162676,45.17882956,51.54737457,34.74133132,56.40431004,59.28592521,50.57226019
2020-09-01,36.49927562,54.78632475,56.14095451,56.93844928,53.28491635,46.19205554,36.1518143,58.90644348,57.96330204,74.66361498,62.61181383,72.15988408,61.31741002,58.82899394,87.16949271,63.53239864,42.3419114,20.05418618,74.35927631,54.35310511,56.41565936,33.28253209,74.2043609,54.93516794,53.32036852,69.10903051,33.16424509,64.37982825,49.78419607,62.20100899,37.79668841,77.13938756,61.55748802,35.68938793,57.88598164,46.6734763,63.27734644,44.88973078,39.48127557,53.44859635,43.00025586,48.03484388,61.80276768,50.5657389,59.68135613,70.63391796,49.54306508,62.4901887,26.84968016,41.72341208,40.7636388,31.88410276,37.8543483,42.03378573,45.43644139,60.30785352,47.06543848,57.62515779,40.73490667,47.11141918,36.74792258,44.73724487,55.18877083,58.86109791,58.88176824,76.23621589,46.2166586,52.32037795,37.29089055,57.85280817,64.09346123,46.03564808
2020-10-01,34.44097962,53.70657497,56.89896961,56.91821297,52.08086502,42.24630638,35.35224969,67.63633258,63.73676632,80.36353466,63.80469349,74.68268642,74.52681287,66.69473092,79.30384124,68.568649,51.1140252,22.81079102,72.12301341,54.35030224,45.41484006,35.05497673,80.07513048,55.55244285,50.83945182,67.20701119,30.68409543,59.54445623,51.6902706,57.04994631,38.45147678,67.68772334,57.90963083,36.3819545,58.30477191,42.01111375,53.10046627,45.68141309,49.67784989,52.88087315,35.05990279,62.21544908,66.23605015,53.38030584,59.83602752,72.73557529,48.72768512,46.13153053,24.41651319,44.549813,39.03254452,36.10371538,28.38193421,43.25162727,37.98021796,51.61566755,42.18704638,56.47384783,42.70410454,45.75663382,31.72688049,32.98469915,61.21417634,61.40787514,66.29781419,69.93121039,58.61209918,54.13060822,37.41600164,57.33582592,60.67555381,44.52500694
